route_id,date,rate_usd_per_t,data_origin
1,2026-03-23,22.15,synthetic
1,2026-03-24,22.04,synthetic
1,2026-03-25,21.91,synthetic
1,2026-03-26,22.89,synthetic
1,2026-03-27,22.67,synthetic
1,2026-03-28,23.31,synthetic
1,2026-03-29,23.68,synthetic
1,2026-03-30,24.01,synthetic
1,2026-03-31,23.23,synthetic
1,2026-04-01,23.5,synthetic
1,2026-04-02,23.67,synthetic
1,2026-04-03,23.61,synthetic
1,2026-04-04,23.22,synthetic
1,2026-04-05,22.69,synthetic
1,2026-04-06,23.1,synthetic
1,2026-04-07,23.72,synthetic
1,2026-04-08,23.37,synthetic
1,2026-04-09,22.88,synthetic
1,2026-04-10,22.69,synthetic
1,2026-04-11,22.41,synthetic
1,2026-04-12,22.12,synthetic
1,2026-04-13,20.99,synthetic
1,2026-04-14,21.49,synthetic
1,2026-04-15,21.29,synthetic
1,2026-04-16,21.24,synthetic
1,2026-04-17,21.27,synthetic
1,2026-04-18,21.43,synthetic
1,2026-04-19,21.85,synthetic
1,2026-04-20,22.17,synthetic
1,2026-04-21,23.39,synthetic
1,2026-04-22,22.98,synthetic
1,2026-04-23,23.19,synthetic
1,2026-04-24,23.05,synthetic
1,2026-04-25,23.15,synthetic
1,2026-04-26,24.13,synthetic
1,2026-04-27,23.54,synthetic
1,2026-04-28,23.67,synthetic
1,2026-04-29,23.71,synthetic
1,2026-04-30,23.44,synthetic
1,2026-05-01,23.19,synthetic
1,2026-05-02,23.71,synthetic
1,2026-05-03,23.86,synthetic
1,2026-05-04,24.71,synthetic
1,2026-05-05,24.54,synthetic
1,2026-05-06,24.93,synthetic
1,2026-05-07,24.95,synthetic
1,2026-05-08,24.69,synthetic
1,2026-05-09,24.5,synthetic
1,2026-05-10,24.16,synthetic
1,2026-05-11,24.24,synthetic
1,2026-05-12,24.22,synthetic
1,2026-05-13,23.95,synthetic
1,2026-05-14,23.72,synthetic
1,2026-05-15,23.18,synthetic
1,2026-05-16,23.68,synthetic
1,2026-05-17,23.25,synthetic
1,2026-05-18,22.79,synthetic
1,2026-05-19,23.75,synthetic
1,2026-05-20,23.67,synthetic
1,2026-05-21,23.25,synthetic
1,2026-05-22,23.16,synthetic
1,2026-05-23,23.25,synthetic
1,2026-05-24,24.26,synthetic
1,2026-05-25,24.56,synthetic
1,2026-05-26,24.94,synthetic
1,2026-05-27,24.26,synthetic
1,2026-05-28,24.22,synthetic
1,2026-05-29,24.55,synthetic
1,2026-05-30,24.29,synthetic
1,2026-05-31,24.3,synthetic
1,2026-06-01,23.7,synthetic
1,2026-06-02,23.65,synthetic
1,2026-06-03,24.73,synthetic
1,2026-06-04,24.96,synthetic
1,2026-06-05,24.92,synthetic
1,2026-06-06,25.18,synthetic
1,2026-06-07,24.49,synthetic
1,2026-06-08,24.89,synthetic
1,2026-06-09,24.98,synthetic
1,2026-06-10,24.68,synthetic
1,2026-06-11,25.07,synthetic
1,2026-06-12,25.4,synthetic
1,2026-06-13,25.8,synthetic
1,2026-06-14,25.69,synthetic
1,2026-06-15,25.74,synthetic
1,2026-06-16,25.12,synthetic
1,2026-06-17,25.41,synthetic
1,2026-06-18,25.03,synthetic
1,2026-06-19,25.67,synthetic
1,2026-06-20,25.58,synthetic
1,2026-06-21,25.15,synthetic
1,2026-06-22,25.16,synthetic
1,2026-06-23,25.02,synthetic
1,2026-06-24,25.2,synthetic
1,2026-06-25,25.43,synthetic
1,2026-06-26,25.1,synthetic
1,2026-06-27,24.46,synthetic
1,2026-06-28,24.05,synthetic
1,2026-06-29,24.35,synthetic
1,2026-06-30,23.54,synthetic
1,2026-07-01,23.41,synthetic
1,2026-07-02,23.63,synthetic
1,2026-07-03,23.97,synthetic
1,2026-07-04,24.09,synthetic
1,2026-07-05,25.6,synthetic
1,2026-07-06,25.78,synthetic
1,2026-07-07,26.18,synthetic
1,2026-07-08,26.07,synthetic
1,2026-07-09,25.56,synthetic
1,2026-07-10,25.06,synthetic
1,2026-07-11,24.88,synthetic
1,2026-07-12,25.64,synthetic
1,2026-07-13,25.51,synthetic
1,2026-07-14,26.07,synthetic
1,2026-07-15,25.66,synthetic
1,2026-07-16,25.78,synthetic
1,2026-07-17,25.87,synthetic
1,2026-07-18,26.29,synthetic
1,2026-07-19,25.86,synthetic
1,2026-07-20,26.29,synthetic
1,2026-07-21,25.62,synthetic
1,2026-07-22,24.99,synthetic
1,2026-07-23,24.4,synthetic
1,2026-07-24,24.2,synthetic
1,2026-07-25,24.31,synthetic
1,2026-07-26,24.34,synthetic
1,2026-07-27,24.32,synthetic
1,2026-07-28,24.29,synthetic
1,2026-07-29,24.55,synthetic
1,2026-07-30,24.34,synthetic
1,2026-07-31,24.83,synthetic
1,2026-08-01,24.0,synthetic
1,2026-08-02,24.46,synthetic
1,2026-08-03,24.51,synthetic
1,2026-08-04,24.21,synthetic
1,2026-08-05,24.85,synthetic
1,2026-08-06,25.24,synthetic
1,2026-08-07,23.8,synthetic
1,2026-08-08,23.54,synthetic
1,2026-08-09,23.29,synthetic
1,2026-08-10,23.55,synthetic
1,2026-08-11,24.07,synthetic
1,2026-08-12,24.38,synthetic
1,2026-08-13,25.27,synthetic
1,2026-08-14,24.26,synthetic
1,2026-08-15,24.79,synthetic
1,2026-08-16,24.69,synthetic
1,2026-08-17,25.01,synthetic
1,2026-08-18,25.08,synthetic
1,2026-08-19,24.09,synthetic
1,2026-08-20,23.72,synthetic
1,2026-08-21,24.09,synthetic
1,2026-08-22,24.1,synthetic
1,2026-08-23,24.05,synthetic
1,2026-08-24,23.99,synthetic
1,2026-08-25,24.33,synthetic
1,2026-08-26,24.7,synthetic
1,2026-08-27,25.24,synthetic
1,2026-08-28,25.77,synthetic
1,2026-08-29,25.37,synthetic
1,2026-08-30,24.88,synthetic
1,2026-08-31,24.85,synthetic
1,2026-09-01,24.35,synthetic
1,2026-09-02,24.35,synthetic
1,2026-09-03,24.14,synthetic
1,2026-09-04,23.51,synthetic
1,2026-09-05,24.06,synthetic
1,2026-09-06,24.31,synthetic
1,2026-09-07,24.35,synthetic
1,2026-09-08,24.4,synthetic
1,2026-09-09,23.86,synthetic
1,2026-09-10,24.11,synthetic
1,2026-09-11,24.35,synthetic
1,2026-09-12,25.08,synthetic
1,2026-09-13,24.58,synthetic
1,2026-09-14,24.73,synthetic
1,2026-09-15,24.91,synthetic
1,2026-09-16,25.49,synthetic
1,2026-09-17,25.76,synthetic
1,2026-09-18,25.03,synthetic
2,2026-03-23,23.0,synthetic
2,2026-03-24,22.72,synthetic
2,2026-03-25,22.3,synthetic
2,2026-03-26,22.23,synthetic
2,2026-03-27,22.64,synthetic
2,2026-03-28,22.09,synthetic
2,2026-03-29,22.73,synthetic
2,2026-03-30,23.06,synthetic
2,2026-03-31,22.79,synthetic
2,2026-04-01,22.91,synthetic
2,2026-04-02,22.05,synthetic
2,2026-04-03,22.33,synthetic
2,2026-04-04,22.66,synthetic
2,2026-04-05,22.08,synthetic
2,2026-04-06,22.13,synthetic
2,2026-04-07,21.28,synthetic
2,2026-04-08,21.27,synthetic
2,2026-04-09,21.8,synthetic
2,2026-04-10,23.9,synthetic
2,2026-04-11,23.18,synthetic
2,2026-04-12,23.81,synthetic
2,2026-04-13,24.37,synthetic
2,2026-04-14,23.9,synthetic
2,2026-04-15,23.65,synthetic
